Plot,GS_Count,GS_Presence,Badger_Count,Badger_Presence,BRTE,POSE,NPG,EPG,TotalShrub,DispIndex_GS,Precip,STATSoil_PS,BurnFreq,Badg_Human,Badg_Grassland,GS_Human,GS_Grassland
253,27,1,1,1,59.66829529,5.560444496,0,1.185929909,0,0.111803399,270.2890015,96.25,2,0,100,2.448979592,97.55102041
254,16,1,0,0,9.168785359,0.336700337,0,0,0.113378685,0.019414507,273.3850098,96.25,2,0.147710487,99.85228951,0.550964187,99.44903581
257,0,0,0,0,16.10423236,3.840223305,0,0,0,0,218.326004,97.5,3,0.48743907,99.1376078,0.574052813,99.42594719
259,0,0,0,0,11.14317354,11.96767696,0,2.816143292,0,0,218.326004,97.5,2,1.052631579,98.94736842,0.909090909,99.09090909
262,0,0,0,0,53.9578116,2.243546577,0,2.698343984,0,0,212.6649933,97.5,2,1.859504132,97.41735537,0.570125428,99.42987457
265,0,0,0,0,22.06335605,11.15828694,0,13.10022118,0,0,244.677002,96.67,5,0.037537538,98.64864865,0,99.88505747
277,4,1,4,1,89.82149417,0.132978723,0,0,2.143022435,0.011766968,255.6000061,96.25,5,20.18726592,49.96254682,12.8,46.62857143
278,6,1,0,0,90.13737505,0.112233446,0,0,0,0.007844645,257.2860107,96.25,5,6.857727738,73.79733879,7.962962963,59.62962963
300,6,1,4,1,90.45587393,0.67912687,0,0,0,0.033489378,259.3729858,98.06,0,23.61516035,46.57434402,10.67708333,22.52604167
302,27,1,1,1,82.81950534,0.666666667,0.114547537,0,0,0.034139673,266.5889893,98.25,0,10.77676697,46.60601819,1.724137931,32.36074271
305,11,1,0,0,63.68256882,14.31220712,0,0,10.68270332,0.022193863,268.0610046,98.25,0,40.35168903,12.95696437,10.11494253,18.62068966
306,0,0,0,0,1.242630385,14.06992429,0.444444444,0,11.9566122,0,238.4810028,82,0,0,0.270793037,0,0.238948626
309,0,0,0,0,17.45003664,0,0,0,19.49108476,0,236.4880066,82,0,0,0.054674686,0,0.115606936
312,0,0,0,0,3.747615793,2.818286698,0,0,19.95284628,0,230.1040039,82,0,0,1.619620546,0,0.97323601
313,0,0,0,0,15.31763788,1.023085465,0,0,20.76893986,0,230.1340027,82,0,0,11.51202749,0,8.932714617
332,24,1,0,0,0.793650794,1.354840926,0,0,22.46802049,0.00606756,292.5450134,96.25,0,0,89.86486486,0,97.94754846
338,17,1,0,0,0,19.85001947,0,0,27.58652282,0.07256297,306.8919983,96.25,0,0,92.84376171,0,88.26879271
341,37,1,1,1,0,24.35110115,0,0,0,0.033339743,310.9590149,96.25,0,0,86.19631902,0,100
347,16,1,3,1,0,32.82228177,0.113378685,0,36.06136192,0.019055969,317.5270081,96.25,0,0.374531835,61.04868914,0,71.01947308
348,27,1,1,1,0,16.70857379,0,0,28.36783256,0.0185,311.1690063,96.25,0,3.857677903,66.55430712,0,73.19587629
350,35,1,3,1,0,2.016835017,0,0,12.95173961,0.043852901,307.4249878,96.25,0,0,86.50168729,0,79.93119266
352,25,1,0,0,1.223344557,10.0147575,0,0,10.07511941,0.037729689,310.4060059,96.25,0,0,81.97908286,0,93.34862385
353,50,1,4,1,0,24.60940447,0,0,0.781144781,0.034358228,309.6730042,96.25,0,0,60.72607261,0,75.2851711
354,22,1,0,0,0,17.50949814,0,0.112233446,14.49189722,0.042874646,307.6730042,96.25,0,0,75.71669477,0,67.11409396
360,13,1,0,0,0,3.353535354,0,0,24.31204702,0.024253563,310.928009,96.25,0,1.233766234,94.48051948,2.375,91.5
363,23,1,0,0,0.66893424,6.28736343,0.22675737,0,21.99346641,0.077781746,309.2539978,96.25,0,0,83.56472795,0,85.84579977
364,21,1,8,1,0,27.15651524,0,0,14.41503612,0.02057983,311.8649902,96.25,0,0,79.80553478,0,78.30080367
365,22,1,21,1,59.87386335,5.392129916,0,0,0,0.08131728,310.2999878,94.5,0,0,54.76190476,0,89.42307692
366,12,1,1,1,0.333333333,13.13529299,0.446689113,0,43.2309702,0.036014703,312.6019897,96.25,0,0,78.77145438,0,70.63621533
367,5,1,4,1,0.637755102,9.984680994,0.376262626,0,54.06374974,0.016865481,309.5969849,96.25,0,0,63.41156748,0,57.01149425
368,16,1,0,0,26.67914155,13.78465993,0.22675737,0,31.24251635,0.005270463,310.1480103,96.25,0,1.257861635,84.84848485,0,81.80764774
372,4,1,0,0,24.7077931,8.99486443,0,0,24.60075954,0.011979192,275.3590088,96.25,0,8.558558559,78.003003,7.99086758,72.48858447
383,0,0,0,0,25.55821322,4.630879239,0,0,9.934263976,0,208.1660004,91.25,0,0.795755968,93.82341796,0.574712644,86.32183908
389,1,0,3,1,55.39212538,6.470840823,0,0,6.169203076,0,206.1230011,97.5,0,30.3712036,51.78102737,26.55172414,48.3908046
399,0,0,6,1,78.2240553,12.30751847,0,0,0,0,241.5839996,97.5,0,64.31784108,28.56071964,46.06613455,42.07525656
400,45,1,2,1,48.16465888,22.17814257,0.340136054,0,0,0.38,233.3549957,98.06,1,0.563063063,61.52402402,1.271676301,41.2716763
402,38,1,0,0,10.55045974,22.57336133,0,0,0,0.87,233.3549957,98.06,1,0,67.87564767,0.900900901,34.23423423
411,72,1,0,0,87.38325317,0.116959064,0.111111111,1.717118028,1.286549708,0.717605373,233.3549957,98.06,1,0,62.72430669,0,92.25146199
415,71,1,5,1,76.70710896,2.015873016,0,2.265516516,5.006872852,0.727712491,233.3549957,98.06,1,0,100,0,100
416,20,1,4,1,26.88004764,21.62653748,0,0,0,0.299633109,227.0679932,98.06,1,0,69.44444444,0,96.61016949
417,32,1,1,1,1.122334456,45.61801329,0,0,0,0.62,233.3549957,98.06,1,0,60,0,2.173913043
421,17,1,0,0,21.62522459,12.45169133,0,0,7.611848905,0.42,232.5610046,98.06,0,0,72.51908397,0,96.37681159
422,42,1,0,0,3.622935677,22.00547511,0.231481481,0,23.87024865,0.49,232.5610046,98.06,0,0,61.9047619,0,65.90909091
426,9,1,0,0,22.10636805,5.660545894,0,0,31.22204005,0.120208153,232.5610046,98.06,0,0,100,0,78.84615385
433,20,1,0,0,0,18.32689709,0.673400673,0,34.37064523,0.266256094,229.9069977,98.06,0,0,100,0,16.12903226
111,34,1,1,1,NA,NA,NA,NA,NA,0.077658027,289.2990112,98.25,1,0,100,0,100
112,55,1,2,1,NA,NA,NA,NA,NA,0.01347129,289.3699951,98.25,1,8.205320345,52.60397152,1.14416476,71.85354691
113,109,1,4,1,NA,NA,NA,NA,NA,0.026464865,251.9060059,96.5,1,0,78.09917355,0,64.26116838
120,60,1,5,1,NA,NA,NA,NA,NA,0.016970966,273.3729858,98.06,1,0,89.64741185,0,99.88545246
206,48,1,7,1,NA,NA,NA,NA,NA,0.091914503,265.0270081,98.25,1,9.186351706,37.64529434,0,36.35321101
207,70,1,0,0,NA,NA,NA,NA,NA,0.063027088,270.1809998,98.25,1,5.640668524,9.192200557,0.132275132,2.91005291
218,58,1,2,1,NA,NA,NA,NA,NA,0.063454477,277.3900146,98.06,1,0.12642225,61.0619469,0.16286645,75.40716612
219,72,1,1,1,NA,NA,NA,NA,NA,0.071554175,220.4140015,97.14,1,4.98489426,32.43957704,7.75462963,30.32407407
236,72,1,0,0,NA,NA,NA,NA,NA,0.038775749,252.4700012,96.5,0,0,82.83553875,0,84.3387471
280,12,1,1,1,55.34358594,6.062837506,0,0,NA,0.007442084,257.5010071,96.25,4,37.12772998,46.72402383,20.61068702,57.2519084
403,87,1,3,1,NA,NA,NA,NA,NA,0.38,233.3549957,98.06,1,0,78.52348993,0,95.0617284
404,70,1,0,0,NA,NA,NA,NA,NA,0.285,215.9309998,97.14,1,0.208623088,8.553546592,2.284946237,15.99462366
405,57,1,5,1,NA,NA,NA,NA,NA,0.35,215.9309998,97.14,1,0,3.03030303,1.333333333,6.666666667
406,32,1,2,1,NA,NA,NA,NA,NA,0.169941166,220.4140015,98.06,1,0.144927536,95.79710145,0.461893764,85.91224018
